instance,cv,methods,tsi_seed,sim_base_seed
I01,0.05,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
I01,0.1,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
I01,0.2,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
I01,0.3,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
I02,0.05,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
I02,0.1,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
I02,0.2,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
I02,0.3,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
I03,0.05,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
I03,0.1,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
I03,0.2,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
I03,0.3,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
I04,0.05,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
I04,0.1,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
I04,0.2,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
I04,0.3,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
I05,0.05,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
I05,0.1,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
I05,0.2,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
I05,0.3,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
I06,0.05,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
I06,0.1,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
I06,0.2,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
I06,0.3,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
I07,0.05,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
I07,0.1,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
I07,0.2,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
I07,0.3,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
I08,0.05,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
I08,0.1,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
I08,0.2,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
I08,0.3,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
I09,0.05,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
I09,0.1,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
I09,0.2,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
I09,0.3,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
I10,0.05,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
I10,0.1,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
I10,0.2,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
I10,0.3,SimTSI-MC|SimTSI-DES|DynSimTSI-DES,12345,500000
