Running mc | I01 | CV=0.05
Running mc | I01 | CV=0.10
Running mc | I01 | CV=0.20
Running mc | I01 | CV=0.30
Running mc | I02 | CV=0.05
Running mc | I02 | CV=0.10
Running mc | I02 | CV=0.20
Running mc | I02 | CV=0.30
Running mc | I03 | CV=0.05
Running mc | I03 | CV=0.10
Running mc | I03 | CV=0.20
Running mc | I03 | CV=0.30
Running mc | I04 | CV=0.05
Running mc | I04 | CV=0.10
Running mc | I04 | CV=0.20
Running mc | I04 | CV=0.30
Running mc | I05 | CV=0.05
Running mc | I05 | CV=0.10
Running mc | I05 | CV=0.20
Running mc | I05 | CV=0.30
Running mc | I06 | CV=0.05
Running mc | I06 | CV=0.10
Running mc | I06 | CV=0.20
Running mc | I06 | CV=0.30
Running mc | I07 | CV=0.05
Running mc | I07 | CV=0.10
Running mc | I07 | CV=0.20
Running mc | I07 | CV=0.30
Running mc | I08 | CV=0.05
Running mc | I08 | CV=0.10
Running mc | I08 | CV=0.20
Running mc | I08 | CV=0.30
Running mc | I09 | CV=0.05
Running mc | I09 | CV=0.10
Running mc | I09 | CV=0.20
Running mc | I09 | CV=0.30
Running mc | I10 | CV=0.05
Running mc | I10 | CV=0.10
Running mc | I10 | CV=0.20
Running mc | I10 | CV=0.30
